bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,dribble_overrun,foul_committed_offensive,miscontrol_aerial_won,pass_no_touch,50_50,pass_inswinging,pass_straight,ball_recovery_offensive,clearance_other,dribble_no_touch,foul_committed_penalty,foul_won_penalty,goalkeeper_punched_out,shot_follows_dribble,block_save_block,goalkeeper_shot_saved_to_post,shot_saved_to_post,half_start_late_video_start,goalkeeper_shot_saved_off_target,shot_saved_off_target,goalkeeper_success_in_play,shot_redirect,goalkeeper_lost_in_play,x,y,type_name
,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,188168fa-879e-4a8a-b525-d6576f320591,1284,,Success In Play,"[80.3, 45.7]",3857264,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Enzo Fernandez,38718.0,Center Defensive Midfield,56,Argentina,779,['7de5a985-c83f-49e8-bc12-4dce42a0ddfa'],43,,,,,,,,,,,,,,,,,,,Argentina,779,00:31:43.828,Interception,,,,,,,,,,,,,,,,,,,,,,,,,80.3,45.7,Interception
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9ef23518-77b1-496f-9397-fd90d56a9056,3183,,Success In Play,"[30.9, 43.1]",3857264,76,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Enzo Fernandez,38718.0,Left Center Midfield,116,Poland,789,['37f3cee2-53c7-452e-a906-2e550eafd4d8'],29,,,,,,,,,,,,,,,,,,,Argentina,779,00:31:29.890,Interception,,,,,,,,,,,,,,,,,,,,,,,,,30.9,43.1,Interception
,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,6e9e15af-6fd8-420a-bc6e-1ed2cec88886,2733,,,"[20.8, 57.9]",3857289,76,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,126,Mexico,794,['2696c9f1-7762-4169-9cc6-01eff751b138'],8,,,,,,,,,,,,,,,,,,,Argentina,779,00:31:08.924,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,20.8,57.9,Duel
,,,,,,,,,,,True,,,,Aerial Lost,0.0,,,,,,,,,,,,018a0696-c9d7-4584-be72-0c891fbe1798,2771,,,"[83.9, 20.5]",3857289,76,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,127,Argentina,779,['da666a2d-83fc-446f-8197-7d30d9ca1f5e'],50,,,,,,,,,,,,,,,,,,,Argentina,779,00:31:50.855,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,83.9,20.5,Duel
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,58df1af4-3af1-443c-97e8-21ac4d34a591,2821,,,"[29.4, 62.7]",3857289,77,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Enzo Fernandez,38718.0,Center Defensive Midfield,128,Mexico,794,['31681bac-86cf-4436-b39c-edaf83925487'],59,,,,,,,,,,,,,,,,,,,Argentina,779,00:32:59.142,Block,,,,,,,,,,,,,,,,,,,,,,,,,29.4,62.7,Block
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dee28c35-4bb2-4c8e-aa6c-ee014edf7b0e,752,,,"[22.7, 10.0]",3869519,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Enzo Fernandez,38718.0,Left Defensive Midfield,28,Croatia,785,,10,,,,,,,,,,,,,,,,,,,Argentina,779,00:15:10.645,Block,,,,,,,,,,,,,,,,,,,,,,,,,22.7,10.0,Block
,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,b85348bb-69a2-4799-9fa9-606cf9a58a7f,1359,,,"[36.8, 13.9]",3869519,29,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Enzo Fernandez,38718.0,Left Defensive Midfield,51,Croatia,785,['420ec392-867b-4fbb-aa74-6694af3c8bd8'],11,,,,,,,,,,,,,,,,,,,Argentina,779,00:29:11.433,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,36.8,13.9,Duel
,,,,,,,,,,,True,,,,Aerial Lost,0.0,,,,,,,,,,,,f775ff84-16aa-45a3-9a90-dcc4b0ec4ef5,1844,,,"[42.2, 5.1]",3869519,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Enzo Fernandez,38718.0,Left Defensive Midfield,72,Croatia,785,['8c828c6b-17b0-4547-8690-fea926f249da'],13,,,,,,,,,,,,,,,,,,,Argentina,779,00:46:13.043,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,42.2,5.1,Duel
,,,,,,,,,,,True,,,Success In Play,Tackle,0.0,,,,,,,,,,,,5d15b2d0-f04c-44f6-aa81-335809f9d4f8,2726,,,"[51.9, 51.9]",3869519,62,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,113,Argentina,779,['038f5b40-7e1e-430a-ad16-f469241d7692'],7,,,,,,,,,,,,,,,,,,,Argentina,779,00:17:07.742,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,51.9,51.9,Duel
,,,,,,,,,,,True,,,Won,Tackle,0.0,,,,,,,,,,,,bb73aab6-b4dc-48ed-b109-d13a2469c1f2,2958,,,"[15.3, 74.7]",3869519,68,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,126,Argentina,779,['f1262247-4183-455a-b78c-55fca71ff182'],6,,,,,,,,,,,,,,,,,,,Argentina,779,00:23:06.518,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,15.3,74.7,Duel
