type,location,progression_zone,reception_zone
Pass,"[69.5, 27.6]",8,8
Pass,"[82.0, 43.5]",9,8
Pass,"[52.7, 52.0]",9,5
Pass,"[63.9, 71.1]",6,9
Pass,"[62.6, 54.1]",9,9
Pass,"[75.5, 59.6]",9,9
Pass,"[48.3, 54.8]",5,6
Pass,"[49.5, 32.5]",6,5
Pass,"[65.0, 48.0]",9,8
Pass,"[45.0, 26.3]",5,4
Pass,"[56.7, 27.5]",9,5
Pass,"[87.1, 41.0]",11,8
Pass,"[38.6, 35.5]",4,5
Pass,"[71.3, 31.5]",9,8
Pass,"[39.1, 37.0]",5,5
Pass,"[49.3, 39.9]",5,5
Pass,"[33.5, 19.2]",2,4
Pass,"[53.5, 52.3]",8,5
Pass,"[69.4, 29.5]",8,8
Pass,"[74.5, 50.4]",8,8
Pass,"[79.2, 56.0]",9,9
Pass,"[70.0, 52.3]",5,8
Pass,"[63.6, 52.8]",6,8
Pass,"[76.4, 52.3]",9,8
Pass,"[72.6, 19.0]",7,7
Pass,"[71.3, 20.7]",7,7
Pass,"[65.9, 8.7]",5,7
Pass,"[67.2, 23.9]",9,7
Pass,"[86.0, 45.5]",9,8
Pass,"[82.2, 51.3]",8,8
Pass,"[64.7, 41.6]",5,8
Pass,"[48.8, 25.2]",5,4
Pass,"[47.3, 12.8]",7,4
Pass,"[56.5, 4.0]",4,4
Pass,"[57.6, 10.2]",7,4
Pass,"[85.6, 19.4]",8,7
Pass,"[80.7, 26.9]",8,8
Pass,"[69.8, 27.7]",9,8
Pass,"[80.9, 3.1]",8,7
Pass,"[62.3, 53.4]",9,9
Pass,"[60.6, 39.1]",4,8
Pass,"[56.1, 30.7]",9,5
Pass,"[97.4, 29.5]",11,11
Pass,"[36.0, 30.1]",5,5
Pass,"[31.9, 19.8]",4,4
Pass,"[36.9, 10.0]",4,4
Pass,"[41.1, 10.6]",4,4
Pass,"[45.2, 10.2]",4,4
Pass,"[87.1, 19.6]",8,7
Pass,"[78.3, 17.5]",7,7
Pass,"[61.7, 12.1]",4,7
Pass,"[55.0, 13.4]",4,4
Pass,"[113.2, 14.5]",11,10
Pass,"[46.5, 20.7]",4,4
Pass,"[26.6, 29.0]",1,2
Pass,"[42.2, 36.3]",6,5
Pass,"[45.4, 26.2]",5,4
Pass,"[44.8, 22.0]",5,4
Pass,"[63.8, 15.5]",5,7
Pass,"[71.9, 3.4]",7,7
Pass,"[69.4, 4.9]",4,7
Carry,"[32.7, 36.0]",5,5
Carry,"[76.1, 42.2]",8,8
Carry,"[60.8, 19.9]",7,7
Carry,"[62.6, 30.9]",8,8
Carry,"[45.6, 37.3]",5,5
Carry,"[56.9, 42.5]",5,5
Carry,"[63.1, 59.0]",9,9
Carry,"[83.4, 62.4]",9,9
Carry,"[28.0, 41.0]",5,2
Carry,"[51.1, 55.7]",5,6
Carry,"[55.1, 39.1]",8,5
Carry,"[74.7, 28.8]",8,8
Carry,"[24.7, 44.3]",2,2
Carry,"[53.4, 54.6]",6,6
Carry,"[21.8, 32.3]",2,2
Carry,"[38.2, 55.7]",6,6
Carry,"[75.0, 38.0]",8,8
Carry,"[88.3, 63.2]",9,9
Carry,"[44.6, 39.6]",5,5
Carry,"[82.8, 27.8]",8,8
Carry,"[80.8, 49.8]",8,8
Carry,"[54.0, 28.3]",5,5
Carry,"[63.9, 59.6]",9,9
Carry,"[55.6, 27.9]",8,5
Carry,"[71.1, 55.7]",8,9
Carry,"[76.1, 32.8]",8,8
Carry,"[71.3, 21.5]",8,7
Carry,"[76.0, 43.5]",8,8
Carry,"[52.9, 43.0]",5,5
Carry,"[64.0, 71.1]",9,9
Carry,"[62.6, 54.1]",9,9
Carry,"[90.7, 40.9]",11,11
Carry,"[51.7, 27.9]",5,5
Carry,"[66.9, 44.1]",8,8
Carry,"[56.7, 27.5]",5,5
Carry,"[87.1, 41.0]",8,8
Carry,"[34.8, 37.0]",5,5
Carry,"[73.7, 28.9]",8,8
Carry,"[38.5, 37.0]",5,5
Carry,"[49.5, 38.9]",5,5
Carry,"[35.9, 14.8]",4,4
Carry,"[53.5, 52.3]",5,5
Carry,"[70.6, 24.5]",8,7
Carry,"[75.1, 52.6]",8,8
Carry,"[79.4, 55.8]",9,9
Carry,"[70.2, 58.5]",8,9
Carry,"[63.2, 50.2]",8,8
Carry,"[76.4, 51.5]",8,8
Carry,"[73.2, 13.8]",7,7
Carry,"[66.6, 5.5]",7,7
Carry,"[74.9, 19.4]",7,7
Carry,"[87.5, 44.6]",8,8
Carry,"[81.8, 52.3]",8,8
Carry,"[65.7, 40.8]",8,8
Carry,"[44.1, 33.5]",4,5
Carry,"[46.9, 16.0]",4,4
Carry,"[55.0, 4.9]",4,4
Carry,"[56.7, 9.8]",4,4
Carry,"[91.2, 15.3]",7,10
Carry,"[76.6, 22.8]",8,7
Carry,"[73.4, 28.4]",8,8
Carry,"[86.9, 2.7]",7,7
Carry,"[60.2, 47.6]",9,8
Carry,"[62.5, 42.3]",8,8
Carry,"[57.8, 25.8]",5,4
Carry,"[86.0, 22.6]",11,7
Carry,"[31.5, 22.4]",4,4
Carry,"[37.1, 8.5]",4,4
Carry,"[42.0, 12.3]",4,4
Carry,"[46.3, 7.2]",4,4
Carry,"[81.1, 27.7]",7,8
Carry,"[78.8, 17.7]",7,7
Carry,"[74.5, 2.7]",10,7
Carry,"[45.6, 26.7]",4,5
Carry,"[45.8, 18.8]",4,4
Carry,"[64.2, 14.5]",7,7
Carry,"[39.4, 16.0]",7,4
Pass,"[51.7, 24.1]",7,4
Pass,"[65.6, 66.2]",8,9
Pass,"[70.6, 57.5]",9,9
Pass,"[81.2, 69.2]",9,9
Pass,"[79.8, 54.8]",9,9
Pass,"[81.0, 72.7]",8,9
Pass,"[86.6, 72.7]",11,9
Pass,"[81.6, 64.6]",9,9
Pass,"[76.6, 69.1]",8,9
Pass,"[67.3, 21.8]",9,7
Pass,"[79.3, 57.9]",12,9
Pass,"[50.9, 51.7]",9,5
Pass,"[82.7, 63.3]",12,9
Pass,"[76.0, 70.0]",9,9
Pass,"[23.4, 73.3]",5,3
